用户编号,缴费总额,缴费次数,用户类型,平均金额,平均缴费次
1000000001,987,8,高价值型客户,705.24,6.64
1000000002,490,7,大众型客户,705.24,6.64
1000000003,1180,7,高价值型客户,705.24,6.64
1000000004,621,8,大众型客户,705.24,6.64
1000000005,1500,7,高价值型客户,705.24,6.64
1000000006,1010,7,高价值型客户,705.24,6.64
1000000007,1106,7,高价值型客户,705.24,6.64
1000000008,1074,7,高价值型客户,705.24,6.64
1000000009,970,7,高价值型客户,705.24,6.64
1000000010,773,8,高价值型客户,705.24,6.64
1000000011,748,7,高价值型客户,705.24,6.64
1000000012,911,7,高价值型客户,705.24,6.64
1000000013,835,7,高价值型客户,705.24,6.64
1000000014,749,7,高价值型客户,705.24,6.64
1000000015,700,7,大众型客户,705.24,6.64
1000000016,784,8,高价值型客户,705.24,6.64
1000000017,780,7,高价值型客户,705.24,6.64
1000000018,641,7,大众型客户,705.24,6.64
1000000019,729,6,潜力型客户,705.24,6.64
1000000020,899,7,高价值型客户,705.24,6.64
1000000021,757,7,高价值型客户,705.24,6.64
1000000022,534,6,低价值型客户,705.24,6.64
1000000023,493,5,低价值型客户,705.24,6.64
1000000024,904,7,高价值型客户,705.24,6.64
1000000025,651,7,大众型客户,705.24,6.64
1000000026,777,7,高价值型客户,705.24,6.64
1000000027,631,7,大众型客户,705.24,6.64
1000000028,571,6,低价值型客户,705.24,6.64
1000000029,691,7,大众型客户,705.24,6.64
1000000030,671,7,大众型客户,705.24,6.64
1000000031,655,7,大众型客户,705.24,6.64
1000000032,519,6,低价值型客户,705.24,6.64
1000000033,545,6,低价值型客户,705.24,6.64
1000000034,721,7,高价值型客户,705.24,6.64
1000000035,769,7,高价值型客户,705.24,6.64
1000000036,645,6,低价值型客户,705.24,6.64
1000000037,627,7,大众型客户,705.24,6.64
1000000038,534,6,低价值型客户,705.24,6.64
1000000039,750,7,高价值型客户,705.24,6.64
1000000040,656,7,大众型客户,705.24,6.64
1000000041,683,6,低价值型客户,705.24,6.64
1000000042,612,7,大众型客户,705.24,6.64
1000000043,640,7,大众型客户,705.24,6.64
1000000044,601,6,低价值型客户,705.24,6.64
1000000045,711,7,高价值型客户,705.24,6.64
1000000046,711,6,潜力型客户,705.24,6.64
1000000047,654,7,大众型客户,705.24,6.64
1000000048,678,6,低价值型客户,705.24,6.64
1000000049,589,7,大众型客户,705.24,6.64
1000000050,568,7,大众型客户,705.24,6.64
1000000051,597,6,低价值型客户,705.24,6.64
1000000052,766,7,高价值型客户,705.24,6.64
1000000053,694,7,大众型客户,705.24,6.64
1000000054,459,6,低价值型客户,705.24,6.64
1000000055,788,7,高价值型客户,705.24,6.64
1000000056,714,7,高价值型客户,705.24,6.64
1000000057,711,7,高价值型客户,705.24,6.64
1000000058,685,7,大众型客户,705.24,6.64
1000000059,740,8,高价值型客户,705.24,6.64
1000000060,730,7,高价值型客户,705.24,6.64
1000000061,683,7,大众型客户,705.24,6.64
1000000062,773,7,高价值型客户,705.24,6.64
1000000063,628,7,大众型客户,705.24,6.64
1000000064,520,6,低价值型客户,705.24,6.64
1000000065,734,7,高价值型客户,705.24,6.64
1000000066,699,6,低价值型客户,705.24,6.64
1000000067,689,7,大众型客户,705.24,6.64
1000000068,711,7,高价值型客户,705.24,6.64
1000000069,548,6,低价值型客户,705.24,6.64
1000000070,667,8,大众型客户,705.24,6.64
1000000071,742,7,高价值型客户,705.24,6.64
1000000072,798,7,高价值型客户,705.24,6.64
1000000073,404,4,低价值型客户,705.24,6.64
1000000074,636,7,大众型客户,705.24,6.64
1000000075,629,7,大众型客户,705.24,6.64
1000000076,725,7,高价值型客户,705.24,6.64
1000000077,720,7,高价值型客户,705.24,6.64
1000000078,592,5,低价值型客户,705.24,6.64
1000000079,597,6,低价值型客户,705.24,6.64
1000000080,603,7,大众型客户,705.24,6.64
1000000081,680,7,大众型客户,705.24,6.64
1000000082,508,5,低价值型客户,705.24,6.64
1000000083,748,7,高价值型客户,705.24,6.64
1000000084,1289,7,高价值型客户,705.24,6.64
1000000085,569,7,大众型客户,705.24,6.64
1000000086,325,4,低价值型客户,705.24,6.64
1000000087,651,7,大众型客户,705.24,6.64
1000000088,538,7,大众型客户,705.24,6.64
1000000089,388,5,低价值型客户,705.24,6.64
1000000090,612,6,低价值型客户,705.24,6.64
1000000091,761,7,高价值型客户,705.24,6.64
1000000092,254,3,低价值型客户,705.24,6.64
1000000093,463,5,低价值型客户,705.24,6.64
1000000094,626,6,低价值型客户,705.24,6.64
1000000095,999,7,高价值型客户,705.24,6.64
1000000096,916,7,高价值型客户,705.24,6.64
1000000097,649,6,低价值型客户,705.24,6.64
1000000098,735,6,潜力型客户,705.24,6.64
1000000099,853,6,潜力型客户,705.24,6.64
1000000100,943,7,高价值型客户,705.24,6.64
